Item Name,Qty,Price (total) (GBP),Item link,Notes
XIAO ESP32-C3,1,$5.90,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C3-Pre-Soldered-p-6331.html,chip
1.28-inch GC9A01,1,$6.39,https://www.amazon.co.uk/Display-Arduino-Colour-Screen-GC9A01/dp/B0H33VDLX3/ref=asc_df_B0H33VDLX3?mcid=2b1924bd10513fd68f5e6da234889f51&tag=googshopuk-21&linkCode=df0&hvadid=804923332790&hvpos=&hvnetw=g&hvrand=16223089439472180496&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9222618&hvtargid=pla-2492863215593&psc=1&hvocijid=16223089439472180496-B0H33VDLX3-&hvexpln=0&gad_source=1,screen
,,,,
,,,,
PCB,1,$2.96,NA,pcb from jlc
3D  printed parts,2,$25.00,NA,3d 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (GBP):,$40.25,,,
